ride_name,design_capacity_hr,ride_class,source,source_type
BAT GIRL™: Coaster Chase,670,kiddie,RCDB, 
BATMAN™ The Ride,720,drop,Wikipedia/UltimateRollerCoaster, 
Bahama Blaster,,water,,
Bamboo Chutes,,water,,
Bermuda Triangle,,water,,
Bonzai Pipeline,,water
Boomerang Coast To Coaster,760,roller,RCDB,
Bucking Broncos,,flat,,
Bugs' White Water Rapids,,water,,
CYBORG™: Cyber Revolution,,flat,,
Chupacabra,,roller,,
Circuit Breaker Grand Prix - Electric Go-Karts,,flat,,
Cowabunga,,water,,
Crow’s Nest,,flat,,
DC™ Super-Villains Swing,,flat,,
Daffy’s Bus Stop,,kiddie,,
Dare Devil Dive Flying Machines,,flat,,
Dr. Diabolical's Cliffhanger,,roller,,
Fiesta Texas Railroad,,train,,
Fiesta Texas Railroad - Western,,train,,
Fireball,,flat,,
Foghorn Leghorn’s Barnyard Railway,,kiddie,,
GREEN LANTERN™ Emerald Flight,,kiddie,,
Grand Carousel,,flat,,
HH - Coral Cove,,water,,
Hurricane Force 5,,flat,,
Hustler,,flat,,
Iron Rattler,,roller,,
JOKER™: Carnival of Chaos,,flat,,
Kinderstein,,kiddie,,
Lone Star Lagoon,,water,,
METROPOLIS™ Transit Authority,,train,,
POISON IVY™ Toxic Spin,,flat,,
Pandemonium,720,roller,,RCDB
Paradise Cove,,water,,
Pirates of the Deep Sea,,dark,,
Poltergeist,,roller,,
Riptide Runner,,water,,
Road Runner Express,1800,roller,,RCDB
SHAZAM™: Tower of Eternity,,drop,,
SUPERGIRL™ Sky Flight,,flat,,
SUPERMAN™ KRYPTON Coaster,1600,roller,,RCDB
Scream!,,drop,,
Spinsanity,,flat,,
Splashwater Springs,,water,,
THE PENGUIN™: Gotham City Getaway,,kiddie,,RCDB
Taz's Tornado,,kiddie,,
Texas Treehouse,,water,,
Texas Tumble,,water,,
The Gully Washer,,water,,
Thunder Rapids Water Coaster,,water,,
Tornado,,water,,
Vortex,,water,,
WONDER WOMAN™ Golden Lasso Coaster,,roller,,
Wave Runner,,water,,
White Water Canyon,,water,,
Yosemite Sam Wacky Wagons,,water,,
